Date,USCPI,MXCPI,MXNUSD,MXREER,SR28,SR464,SR465,SR1501,SR1503,MXREER2
1/1/1979,68.5,0.042237,0.0227,,,,,,,84.6276
2/1/1979,69.2,0.042845,0.0227,,,,,,,83.7584
3/1/1979,69.9,0.043426,0.0227,,,,,,,82.9591
4/1/1979,70.6,0.043815,0.0228,,,,,,,82.5723
5/1/1979,71.4,0.044389,0.0228,,,,,,,81.8668
6/1/1979,72.2,0.044881,0.0228,,,,,,,81.8075
7/1/1979,73,0.045425,0.0228,,,,,,,83.2066
8/1/1979,73.7,0.046112,0.0228,,,,,,,82.1134
9/1/1979,74.4,0.046678,0.0228,,,,,,,81.9054
10/1/1979,75.2,0.047493,0.0228,,,,,,,80.4524
11/1/1979,76,0.048104,0.0227,,,,,,,79.1033
12/1/1979,76.9,0.048956,0.0228,,,,,,,79.4742
1/1/1980,78,0.051342,0.0228,,,,,,,77.3712
2/1/1980,79,0.052529,0.0228,,,,,,,76.0724
3/1/1980,80.1,0.05361,0.0228,,,,,,,73.5286
4/1/1980,80.9,0.054547,0.0228,,,,,,,72.9722
5/1/1980,81.7,0.055437,0.0229,,,,,,,75.043
6/1/1980,82.5,0.056536,0.0229,,,,,,,75.412
7/1/1980,82.6,0.058115,0.023,,,,,,,73.9807
8/1/1980,83.2,0.059319,0.023,,,,,,,72.2251
9/1/1980,83.9,0.059978,0.023,,,,,,,72.6585
10/1/1980,84.7,0.060886,0.023,,,,,,,72.2051
11/1/1980,85.6,0.061942,0.0231,,,,,,,70.4797
12/1/1980,86.4,0.063567,0.0232,,,,,,,68.7964
1/1/1981,87.2,0.065615,0.0233,,,,,,,67.9647
2/1/1981,88,0.067227,0.0235,,,,,,,65.4543
3/1/1981,88.6,0.068665,0.0236,,,,,,,64.8913
4/1/1981,89.1,0.070213,0.0239,,,,,,,63.654
5/1/1981,89.7,0.071275,0.0241,,,,,,,61.9206
6/1/1981,90.5,0.072271,0.0243,,,,,,,60.936
7/1/1981,91.5,0.073544,0.0245,,,,,,,59.8267
8/1/1981,92.2,0.07506,0.0247,,,,,,,58.5642
9/1/1981,93.1,0.076456,0.025,,,,,,,59.9947
10/1/1981,93.4,0.078153,0.0253,,,,,,,60.2058
11/1/1981,93.8,0.079657,0.0256,,,,,,,60.7122
12/1/1981,94.1,0.081801,0.026,,,,,,,60.1033
1/1/1982,94.4,0.085866,0.0264,,,,,,,57.8902
2/1/1982,94.7,0.08924,0.0322,,,,,,,66.8368
3/1/1982,94.7,0.092499,0.0455,,,,,,,90.4096
4/1/1982,95,0.097512,0.0457,,,,,,,86.0112
5/1/1982,95.9,0.102993,0.0465,,,,,,,85.0409
6/1/1982,97,0.107954,0.0473,,,,,,,80.4719
7/1/1982,97.5,0.113517,0.0482,,,,,,,77.2469
8/1/1982,97.7,0.126256,0.0695,,,,,,,100.0408
9/1/1982,97.7,0.132995,0.07,,,,,,,95.5318
10/1/1982,98.1,0.13989,0.07,,,,,,,90.0962
11/1/1982,98,0.146963,0.07,,,,,,,85.6209
12/1/1982,97.7,0.162656,0.0805,,,,,,,91.7019
1/1/1983,97.9,0.180355,0.0966,,,,,,,100.6369
2/1/1983,98,0.190034,0.1024,,,,,,,100.5495
3/1/1983,98.1,0.199232,0.1062,,,,,,,99.3289
4/1/1983,98.8,0.211846,0.1102,,,,,,,97.0324
5/1/1983,99.2,0.221034,0.1142,,,,,,,97.0261
6/1/1983,99.4,0.229404,0.1181,,,,,,,95.5664
7/1/1983,99.8,0.240746,0.1221,,,,,,,93.7362
8/1/1983,100.1,0.250091,0.1261,,,,,,,92.0656
9/1/1983,100.4,0.257787,0.1301,,,,,,,92.8237
10/1/1983,100.8,0.266341,0.1341,,,,,,,94.2541
11/1/1983,101.1,0.281983,0.138,,,,,,,90.6933
12/1/1983,101.4,0.294047,0.142,,,,,,,88.8383
1/1/1984,102.1,0.312728,0.146,,,,,,,85.7628
2/1/1984,102.6,0.329232,0.1499,,,,,,,85.0674
3/1/1984,102.9,0.343304,0.1538,,,,,,,85.6936
4/1/1984,103.3,0.358156,0.1578,,,,,,,84.118
5/1/1984,103.5,0.370032,0.1617,,,,,,,82.2136
6/1/1984,103.7,0.383423,0.1657,,,,,,,81.2961
7/1/1984,104.1,0.395993,0.1697,,,,,,,78.8168
8/1/1984,104.4,0.407249,0.1737,,,,,,,78.1777
9/1/1984,104.7,0.41938,0.1777,,,,,,,76.5366
10/1/1984,105.1,0.434034,0.1816,,,,,,,75.2777
11/1/1984,105.3,0.448929,0.1856,,,,,,,75.3655
12/1/1984,105.5,0.467996,0.19,,,,,,,72.8262
1/1/1985,105.7,0.502711,0.1953,,,,,,,68.8824
2/1/1985,106.3,0.523596,0.2003,,,,,,,66.8016
3/1/1985,106.8,0.543885,0.2058,,,,,,,66.231
4/1/1985,107,0.560621,0.2122,,,,,,,69.0704
5/1/1985,107.2,0.573902,0.2186,,,,,,,69.4595
6/1/1985,107.5,0.588276,0.225,,,,,,,70.5276
7/1/1985,107.7,0.608763,0.2418,,,,,,,75.1907
8/1/1985,107.9,0.635377,0.2853,,,,,,,86.307
9/1/1985,108.1,0.660752,0.2972,,,,,,,85.9856
10/1/1985,108.5,0.685852,0.312,,,,,,,91.256
11/1/1985,109,0.717495,0.3289,,,,,,,93.5972
12/1/1985,109.5,0.76634,0.3549,,,,,,,95.6431
