Quarter,EMPBR,EMPCH,EMPMX,EMPSA,CRISISBR,CRISISCH,CRISISMX,CRISISSA,CABR,CACH,CAMX,CASA,INFBR,INFCH,INFMX,INFSA,GROWTHBR,GROWTHCH,GROWTHMX,GROWTHSA
Q2 1996,-2.424069313,-0.85288854,-2.700083307,4.035097143,0,0,0,1,-2.305994768,-0.005154735,-0.130131653,-0.255993115,3.079089674,2.367735553,6.993130536,1.992924625,0.567386392,-0.308457178,-1.265322446,1.940459593
Q3 1996,-0.139513348,-0.98057219,-1.30651721,0.758032683,0,0,0,0,-2.877322435,-0.016281449,-0.257258175,-0.148284735,2.670109781,1.293517502,4.599406431,2.301333309,2.280926249,-1.43798992,1.892126169,0.151931131
Q4 1996,-0.617097716,-0.75263161,-1.377696167,1.607065135,0,0,0,0,-4.548100315,-0.020212159,-0.330154751,0.004837498,0.920084252,1.575680074,4.920131503,2.334467535,3.896400476,1.899010329,2.709946968,0.25958287
Q1 1997,-0.342453452,-2.040506688,-2.821006268,-1.760469219,0,0,0,0,-2.249540669,0.003388067,-0.150977335,-0.23943259,2.117305034,1.547505481,6.879110117,2.65450245,-1.050786605,3.041598223,-1.260669594,0.007366349
Q2 1997,-0.033282216,-1.660029119,-2.190479155,-3.867937094,0,0,0,0,-3.516869362,-0.00845417,-0.276155367,-0.154079414,1.85050711,1.053902916,3.407103252,1.77777565,0.049001088,0.368630921,2.007234352,0.915519474
Q3 1997,-0.633510519,1.150126675,-2.289459304,-0.097762842,0,0,0,0,-3.152760198,-0.018787199,-0.392274453,-0.281302354,0.72359071,1.426529512,2.801533096,1.587940115,2.239784133,-0.072552077,3.063739607,0.625458624
Q4 1997,5.456037461,0.685448853,-0.808694003,-0.425248489,1,0,0,0,-4.658188307,-0.022269585,-0.454711515,-0.100901532,0.52057087,2.126581731,3.172455508,0.703390461,-0.244450121,1.514444503,3.042739393,1.56854754
Q1 1998,-2.667961197,3.729894922,-0.617400791,-1.319248842,0,1,0,0,-2.645321661,-0.00912004,-0.40391076,0.154447645,1.479942546,0.880544224,5.124808676,1.319359554,0.28337252,0.273844365,-0.585862232,0.033123175
Q2 1998,-3.068254168,-0.809413091,-0.235811267,2.338498403,0,0,0,1,-3.065812435,-0.012712583,-0.420846994,-0.062001219,0.962053238,0.85198872,3.254816003,1.417092771,1.497944128,1.030672588,1.029675323,2.076408453
Q3 1998,2.912947082,-0.582233572,3.862304342,7.980267135,1,0,1,1,-3.585123177,-0.016721756,-0.509215562,-0.449513783,-0.35389006,1.120138211,3.235139223,4.116307075,0.830785459,-1.332232665,1.178650214,-3.095271909
